name,id,lat,lon,capacity
"Hinde Street, Marylebone",210,51.51681444,-0.151926305,21
"Cadogan Place, Knightsbridge",211,51.49464523,-0.158105512,34
"Campden Hill Road, Notting Hill",212,51.50658458,-0.199004026,17
"Wellington Arch, Hyde Park",213,51.50274025,-0.149569201,36
"Endsleigh Gardens, Euston",214,51.52683806,-0.130504336,32
"Moorfields, Moorgate",215,51.51906932,-0.088285377,54
"Old Brompton Road, South Kensington",216,51.49094565,-0.181190899,30
"Wormwood Street, Liverpool Street",217,51.51615461,-0.082422399,16
"St. Luke's Church, Chelsea",218,51.48971651,-0.170194408,20
"Bramham Gardens, Earl's Court",219,51.49016361,-0.19039362,29
"Chelsea Green, Chelsea",220,51.49066456,-0.166485083,27
"Horseferry Road, Westminster",221,51.49481649,-0.13045856,16
"Knightsbridge, Hyde Park",222,51.50275704,-0.155349725,43
"Rodney Road , Walworth",223,51.49148474,-0.090220911,24
"Whiteley's, Bayswater",224,51.51476963,-0.188129731,16
"Notting Hill Gate Station, Notting Hill",225,51.50935342,-0.196422,30
"Charles II Street, West End",226,51.50844614,-0.131961389,24
"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888,23
"St. James's Square, St. James's",228,51.50742485,-0.134621209,40
"Whitehall Place, Strand",229,51.50654321,-0.123179697,24
"Poured Lines, Bankside",230,51.50669284,-0.103137426,31
"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226,31
"Carey Street, Holborn",232,51.51501025,-0.112753217,16
"Pall Mall East, West End",233,51.50777049,-0.130699733,22
"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.106992706,24
"Kennington Road  , Vauxhall",235,51.49571828,-0.110889274,36
"Fashion Street, Whitechapel",236,51.51838043,-0.073438925,30
"Dock Street, Wapping",237,51.5097860151,-0.0681619805156,30
"Frampton Street, Paddington",238,51.5233534,-0.175116099,32
"Warren Street Station, Euston",239,51.52443845,-0.138019439,26
"Colombo Street, Southwark",240,51.50545935,-0.10569204,14
"Beaumont Street, Marylebone",242,51.52200801,-0.151359288,23
"Gloucester Street, Pimlico",243,51.49096258,-0.139625122,25
"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022,18
"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481,29
"Berry Street, Clerkenwell",246,51.52285301,-0.099994052,41
"St. John's Wood Church, The Regent's Park",247,51.530052,-0.168314,50
"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555,27
"Harper Road, The Borough",249,51.49859784,-0.096191134,42
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727,10
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249,34
"Jubilee Gardens, South Bank",252,51.5046364,-0.116542278,30
"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717,30
